Date,Typedejour,Energie,Tmax
16/10/2014,5,49204.43745,28
17/10/2014,6,49953.43266,34
18/10/2014,7,47215.69174,32
19/10/2014,1,42873.79807,28
20/10/2014,2,48203.34492,28
21/10/2014,3,48680.23933,29
22/10/2014,4,47185.83723,26
23/10/2014,5,45268.27803,23
24/10/2014,6,45799.33105,25
25/10/2014,7,41758.96061,25
26/10/2014,1,38695.3157,25
27/10/2014,2,44572.97519,23
28/10/2014,3,44835.19121,23
29/10/2014,4,44893.07018,25
30/10/2014,5,44476.68903,23
31/10/2014,6,44681.75308,23
01/11/2014,7,41727.10892,22
02/11/2014,1,37617.55936,23
03/11/2014,2,42200.81922,27
04/11/2014,3,43483.87727,28
05/11/2014,4,44086.0564,28
06/11/2014,5,44172.24339,18
07/11/2014,6,42073.7014,19
08/11/2014,7,39806.39396,22
09/11/2014,1,36879.73711,25
10/11/2014,2,42041.93002,24
11/11/2014,3,43435.71465,21
12/11/2014,4,43604.2663,23
13/11/2014,5,43499.76091,23
14/11/2014,6,43390.31183,26
15/11/2014,7,41602.11511,26
16/11/2014,1,37732.67907,23
17/11/2014,2,42524.48687,24
18/11/2014,3,43777.06991,22
19/11/2014,4,44595.88408,25
20/11/2014,5,45168.29107,22
21/11/2014,6,44759.87167,26
22/11/2014,7,41835.14305,24
23/11/2014,1,37837.90586,24
24/11/2014,2,43784.32967,25
25/11/2014,3,44889.0263,22
26/11/2014,4,44747.63234,24
27/11/2014,5,44643.26382,23
28/11/2014,6,44176.7683,27
29/11/2014,7,42238.75528,23
30/11/2014,1,37961.92429,27
01/12/2014,2,43072.16899,23
02/12/2014,3,44255.54115,24
03/12/2014,4,44281.20393,20
04/12/2014,5,44240.10209,24
05/12/2014,6,44222.4609,21
06/12/2014,7,42217.14151,20
07/12/2014,1,38460.16807,17
08/12/2014,2,44660.39545,17
09/12/2014,3,45898.32683,15
10/12/2014,4,46667.67243,17
11/12/2014,5,46921.85226,17
12/12/2014,6,46171.47795,18
13/12/2014,7,43910.02051,19
14/12/2014,1,40811.08201,18
15/12/2014,2,45584.51198,20
16/12/2014,3,46884.80869,18
17/12/2014,4,48215.86445,16
18/12/2014,5,49226.14906,14
19/12/2014,6,47029.96454,19
20/12/2014,7,44005.63266,19
21/12/2014,1,40239.91589,18
22/12/2014,2,45590.61257,18
23/12/2014,3,46163.20237,18
24/12/2014,4,46233.64586,17
25/12/2014,5,47396.6816,14
26/12/2014,6,47074.56789,17
27/12/2014,7,44375.97359,15
28/12/2014,1,41491.82124,18
29/12/2014,2,47231.43671,13
30/12/2014,3,48942.70889,11
31/12/2014,4,48037.57026,8
01/01/2015,5,42872.85681,12
02/01/2015,6,43925.7245899999,13
03/01/2015,7,40508.13956,17
04/01/2015,1,40122.27733,18
05/01/2015,2,46305.66714,17
06/01/2015,3,47524.46013,16
07/01/2015,4,48007.80567,17
08/01/2015,5,48016.99859,16
09/01/2015,6,48278.66787,17
10/01/2015,7,44402.98858,20
11/01/2015,1,40470.97475,22
12/01/2015,2,46056.37881,17
13/01/2015,3,47213.38342,19
